,station,thZ_d,thal_lat,Z_vfe,W_L_vfe,W_R_vfe,Z_beto,W_L_beto,W_R_beto
0,0.0,-0.021717024493113968,0.1455526073343374,-0.711497352868264,1.2053822541640578,-2.1018360735192108,-0.03814811323059075,0.04080441162412152,-0.3319096262927963
1,1.0,-0.04240608328450435,0.0881041874164659,-0.7358258861557943,1.2419358661190587,-1.9424626588029579,-0.06480986279882472,0.093172703590353,-0.2693810784232848
2,2.0,-0.02394154491116751,0.0723655162368257,-0.721000822278711,1.263072829724702,-1.945029493088407,-0.052318015202217794,0.1116238144128024,-0.2563548468864538
3,3.0,-0.0037757333373065194,0.060329360487606,-0.7044744852011036,1.3377444117502684,-1.988898617936699,-0.03812489440531408,0.12430727288865828,-0.2449659938638703
4,4.0,-0.021245959929046876,0.0191560634815903,-0.7255841862890975,1.5892529553875436,-1.9567906838183189,-0.06156781177378434,0.1344364383398327,-0.1727485653030133
5,5.0,0.012052846375240733,0.1023273200419833,-0.6959248544809498,1.2959645737527654,-2.261506426480745,-0.034241696246340325,0.10702987819173748,-0.3116845182757041
6,6.0,0.03651024553755633,0.1264318331400574,-0.6751069298148877,1.2424823424601816,-2.258370335478051,-0.015756987860754634,0.12243236952618869,-0.3752960358063035
7,7.0,0.04778803490125938,0.1114051288409874,-0.6674686149473246,1.3215757022051067,-2.0923596027619302,-0.010451889273895176,0.15691871981563738,-0.3797289774976122
8,8.0,0.04420258782181463,0.0512874531863476,-0.6746935365231366,1.4135686018005416,-1.9857240754381635,-0.020010027130183516,0.2312335340717691,-0.3338084404444643
9,9.0,0.034127456439705384,0.116927996120073,-0.6884081424013857,1.3640108930708197,-2.058236088980232,-0.03605784928913636,0.16460116204052,-0.39845715428066597
10,10.0,0.05717945396088453,0.1168677001603777,-0.6689956193764601,1.4689630320602465,-1.9846476615955007,-0.018978542544687116,0.1257024412345084,-0.3594378415552638
11,11.0,0.07241766473953248,0.080391300677927,-0.6573968830939521,1.5917735713464483,-1.8717609940017972,-0.009713022542882754,0.10894378428970221,-0.26972638564555623
12,12.0,-0.029096870776925243,0.0510045400143795,-0.7625508931066634,1.6204984769497346,-1.8430291053270564,-0.11720024883607039,0.1264204605468367,-0.22842954057559572
13,13.0,-0.16209507303653936,0.0236857367090772,-0.899188569862531,1.645009499769666,-1.8184884582994463,-0.2561711418726418,0.1656423103270056,-0.21301378374516
