,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_13,harmonic_14,harmonic_15,harmonic_16,harmonic_17,harmonic_18,harmonic_19,harmonic_20,harmonic_21,harmonic_807,harmonic_808,harmonic_809,harmonic_810,harmonic_811,harmonic_812,harmonic_813,harmonic_814,harmonic_815,harmonic_816,harmonic_817,harmonic_818,harmonic_819,harmonic_820,harmonic_821,harmonic_822,harmonic_823,harmonic_824,harmonic_825,all_20_harmonics
0,0.0,0.10043283874295861,-0.18502850695004175,0.30183119560493604,-0.025500764213760727,-0.10305667009783613,-0.1653943188125971,0.25010955984843886,-0.08583544179452485,-0.016262837382627335,-0.03399578066560258,0.003212226191659129,0.0067369306623868185,0.00178014506213847,-0.0007570607958624927,-0.007361195486625091,-0.0052190663992696135,-0.003566104503711086,0.0016926510824484952,-0.002040097021274649,-0.0012201797175958712,0.0010034094746634106,0.0016926510824484874,-0.0035661045037110864,-0.005219066399269616,-0.007361195486625093,-0.0007570607958624841,0.0017801450621384668,0.0067369306623868185,0.00321222619165914,-0.03399578066560258,-0.016262837382627342,-0.08583544179452485,0.2501095598484389,-0.1653943188125971,-0.10305667009783613,-0.025500764213760706,0.301831195604936,-0.18502850695004175,0.10043283874295866,0.0,0.06537873292080829
1,-0.04866617903098813,0.0966598385250676,-0.1956473744885099,0.2938052960873508,-0.02887490716878525,-0.10624651309436997,-0.15635954120090376,0.24846860261307882,-0.09394779492444379,-0.014396143885601268,-0.03457455720942028,0.005313610726668952,0.006878156252564165,0.0012026432852479624,-0.0017033077294445515,-0.007838143927806991,-0.005027346666276276,-0.002995435181579069,0.0016311739562496878,-0.0018705302245353309,-0.0012438636955451527,0.0009072087630779689,0.0016311739562496807,-0.0029954351815790706,-0.005027346666276279,-0.007838143927806991,-0.0017033077294445402,0.001202643285247958,0.006878156252564164,0.005313610726668964,-0.03457455720942028,-0.014396143885601278,-0.09394779492444383,0.24846860261307882,-0.15635954120090373,-0.10624651309436996,-0.02887490716878524,0.29380529608735073,-0.19564737448850986,0.09665983852506761,0.0,0.010489326781171218
2,-0.0969461551759423,0.09288123175580687,-0.2062208502213966,0.2856260284560562,-0.03222225481099912,-0.10928230880418426,-0.1469983237501204,0.24612162607702326,-0.1017115025645452,-0.01246184006804401,-0.034952887226286304,0.007377724100255233,0.006961972303320437,0.0006133621785857841,-0.002630208736013547,-0.00821291017599369,-0.004761069117709327,-0.0023746237207798514,0.0015390901037748766,-0.0016618644119321263,-0.0012387442056370314,0.0007878516154567429,0.0015390901037748714,-0.002374623720779854,-0.004761069117709334,-0.008212910175993692,-0.0026302087360135333,0.0006133621785857802,0.006961972303320437,0.007377724100255243,-0.034952887226286304,-0.012461840068044022,-0.10171150256454518,0.24612162607702326,-0.1469983237501204,-0.10928230880418424,-0.03222225481099909,0.28562602845605617,-0.2062208502213966,0.09288123175580691,0.0,-0.04352824544461163
3,-0.14483854313039002,0.08909723760534353,-0.2167464810150678,0.2772976623374506,-0.03553970087146663,-0.11215965561372469,-0.13733021035436982,0.2430752991341094,-0.10909775316416774,-0.01046901023073422,-0.03512857734211164,0.009390088040165674,0.0069876792317015235,1.807347560667936e-05,-0.003527236205724566,-0.008480608580008969,-0.004424182769555797,-0.0017140622054236188,0.0014181273513275278,-0.0014184612493767686,-0.001204939797085174,0.0006483846140934564,0.001418127351327524,-0.0017140622054236242,-0.004424182769555805,-0.008480608580008969,-0.0035272362057245476,1.80734756066764e-05,0.0069876792317015235,0.009390088040165686,-0.03512857734211163,-0.010469010230734235,-0.10909775316416774,0.2430752991341095,-0.1373302103543698,-0.11215965561372469,-0.0355397008714666,0.2772976623374506,-0.21674648101506774,0.08909723760534356,0.0,-0.09664163878566932
4,-0.1923419575895191,0.0853080755563284,-0.22722182483631004,0.2688245451882303,-0.038824166829297554,-0.11487438164519453,-0.1273753856301901,0.23933827787043963,-0.11607913593671139,-0.00842701353714896,-0.03510060899074882,0.0113365872592433,0.0069550624710613485,-0.0005773922486320976,-0.004384201828116877,-0.008637749281764535,-0.004021683798105532,-0.0010248081163415053,0.0012705553978809253,-0.0011454085050267787,-0.0011432332599964456,0.0004923676437992023,0.001270555397880923,-0.0010248081163415107,-0.00402168379810554,-0.008637749281764535,-0.004384201828116856,-0.000577392248632101,0.0069550624710613485,0.011336587259243313,-0.03510060899074882,-0.008427013537148977,-0.11607913593671142,0.23933827787043963,-0.12737538563019007,-0.11487438164519452,-0.038824166829297534,0.2688245451882303,-0.2272218248363099,0.08530807555632841,0.0,-0.14882677199197988
5,-0.2394550132485158,0.08151396539116537,-0.23764445131890255,0.26021110002599135,-0.042072604768450414,-0.11742255080537853,-0.11715463277607475,0.23492118096825987,-0.1226297425825902,-0.006345440058912559,-0.03486914431914486,0.013203568464024047,0.006864394261973841,-0.001167202685232661,-0.005191372309495564,-0.008682283711897278,-0.003559541444406351,-0.0003183992341953063,0.0010991432273118964,-0.0008484137015102244,-0.0010550534987306985,0.00032378302610806527,0.0010991432273118956,-0.00031839923419531275,-0.0035595414444063627,-0.008682283711897278,-0.005191372309495542,-0.001167202685232664,0.0068643942619738395,0.013203568464024056,-0.03486914431914486,-0.006345440058912574,-0.12262974258259016,0.23492118096825992,-0.11715463277607475,-0.11742255080537853,-0.04207260476845039,0.26021110002599124,-0.23764445131890247,0.08151396539116541,0.0,-0.20006771152604208
6,-0.28617632480279465,0.07771512717926353,-0.24801194232748236,0.2514618231203881,-0.04528200020613512,-0.11980046849260177,-0.10668929018232254,0.22983655953315527,-0.12872526343637253,-0.004234065736804091,-0.03443552524729178,0.014977936122780514,0.0067164313799370715,-0.0017455809162005291,-0.00593957992229742,-0.008613631296003788,-0.003044609487730528,0.0003933394974000595,0.0009071071522429423,-0.0005336848136472236,-0.0009424424435479675,0.00014693387081688775,0.0009071071522429434,0.00039333949740005196,-0.003044609487730541,-0.008613631296003788,-0.005939579922297398,-0.0017455809162005339,0.006716431379937071,0.014977936122780523,-0.03443552524729178,-0.0042340657368041025,-0.12872526343637256,0.22983655953315532,-0.10668929018232254,-0.1198004684926018,-0.045282000206135084,0.2514618231203881,-0.24801194232748236,0.0777151271792636,0.0,-0.2503564599185281
7,-0.33250450694742906,0.0739117812642724,-0.25832189251857135,0.24258128164605358,-0.04844937489019027,-0.12200468695354906,-0.09600120688178483,0.22409886143029736,-0.13434307768130083,-0.0021028064688455184,-0.033802265688424864,0.01664724432126793,0.006512408818835626,-0.0023068619966606133,-0.006620326630837137,-0.008432687023315568,-0.002484524600940976,0.0010984939157232796,0.0006980504643783197,-0.00020780050540052239,-0.000808007766751866,-3.366576057145346e-05,0.0006980504643783218,0.0010984939157232712,-0.002484524600940988,-0.008432687023315568,-0.006620326630837113,-0.002306861996660618,0.006512408818835623,0.01664724432126795,-0.033802265688424864,-0.0021028064688455293,-0.1343430776813009,0.2240988614302973,-0.09600120688178478,-0.12200468695354906,-0.04844937489019025,0.24258128164605358,-0.2583218925185713,0.07391178126427245,0.0,-0.29969265297990877
8,-0.3784381743779468,0.07010414825130132,-0.26857190989863594,0.233574111298507,-0.05157178956283913,-0.12403201028217727,-0.08511269693451844,0.21772439023108142,-0.13946233729640028,3.832845890802875e-05,-0.032973036974572024,0.0181997840618702,0.006254029482883112,-0.0028455484403487508,-0.007225880610788356,-0.008141809779145713,-0.0018875930951928247,0.001785260076278146,0.0004758958237121544,0.00012242738155482884,-0.0006548624982554665,-0.00021340607593133855,0.0004758958237121582,0.0017852600762781365,-0.0018875930951928405,-0.008141809779145715,-0.007225880610788332,-0.0028455484403487564,0.0062540294828831115,0.018199784061870207,-0.032973036974572024,3.832845890801368e-05,-0.13946233729640028,0.2177243902310814,-0.0851126969345184,-0.1240320102821773,-0.051571789562839095,0.23357411129850691,-0.26857190989863594,0.07010414825130142,0.0,-0.3480831715727867
9,-0.42397594178942066,0.06629244899412375,-0.2787596163790495,0.22444501387429355,-0.054646346688259725,-0.125879499053474,-0.07404649284157704,0.210731258886806,-0.14406404442464354,0.00217928338016728,-0.03195264657194994,0.01962466539380526,0.005943449973082514,-0.003356364064924288,-0.007749364066145055,-0.007744791593211395,-0.0012626677335975218,0.00244214184512517,0.00024481165523171475,0.0004500962132910774,-0.00048655293885880663,-0.0003876992171147025,0.00024481165523171985,0.002442141845125162,-0.0012626677335975376,-0.007744791593211396,-0.007749364066145028,-0.0033563640649242913,0.005943449973082513,0.019624665393805262,-0.03195264657194993,0.0021792833801672676,-0.14406404442464357,0.21073125888680608,-0.07404649284157701,-0.125879499053474,-0.054646346688259705,0.22444501387429355,-0.27875961637904956,0.06629244899412384,0.0,-0.3955416747710758
