,Station,Z_d,W_bf_L,W_bf_R,thal_y
,0.0,1.9286523833625324,22.9609000356,29.4498500421,3.244475003249999
,1.0,1.8754050755441085,22.685594528667888,29.709342600232173,3.511874035782141
,2.0,1.8225439706117186,22.414908247302,29.9644487518363,3.774770252267148
,3.0,1.7700704538698346,22.14880211487003,30.21520588699795,4.033201886063958
,4.0,1.7179859106232698,21.887237054739643,30.461651395802654,4.287207170531505
,5.0,1.666291726176837,21.630173990278543,30.703822668335995,4.536824339028724
,6.0,1.6149892858351222,21.377573844854407,30.941757094683513,4.782091624914552
,7.0,1.564079974903052,21.129397541834916,31.17549206493076,5.023047261547923
,8.0,1.5135651786850985,20.88560600458778,31.40506496916332,5.259729482287771
,9.0,1.4634462824861885,20.646160156480658,31.630513197466723,5.492176520493033
,10.0,1.4137246716110212,20.411020920881246,31.851874139926533,5.720426609522644
,11.0,1.3644017313642962,20.18014922115723,32.06918518662831,5.944517982735539
,12.0,1.3154788470507128,19.953505980676304,32.28248372765761,6.164488873490653
,13.0,1.2669574039750842,19.731052122806158,32.491807153100005,6.380377515146923
,14.0,1.2188387874421096,19.512748570914457,32.697192853041024,6.592222141063282
,15.0,1.1711243827564886,19.298556248368904,32.898678217566236,6.800060984598667
,16.0,1.1238155752229204,19.08843607853718,33.0963006367612,7.003932279112012
,17.0,1.0769137501462183,18.88234898478698,33.29009750071148,7.203874257962252
,18.0,1.0304202928310815,18.680255890485967,33.480106199502615,7.399925154508323
,19.0,0.9843365885822095,18.482117719001856,33.666364123220184,7.592123202109162
,20.0,0.9386640227043017,18.287895393702307,33.848908661949714,7.780506634123703
,21.0,0.8934039805022849,18.097549837955032,34.027777205776786,7.965113683910878
,22.0,0.848557847280631,17.91104197512769,34.20300714478695,8.145982584829628
,23.0,0.8041270083441532,17.728332728587997,34.37463586906577,8.323151570238885
,24.0,0.7601128489975508,17.54938302170362,34.54270076869878,8.496658873497582
,25.0,0.7165167545457507,17.374153777842245,34.707239233771574,8.666542727964663
,26.0,0.6733401102931111,17.202605920371568,34.86828865436967,8.832841366999052
,27.0,0.6305843015447863,17.03470037265928,35.02588642057866,8.99559302395969
,28.0,0.5882507136052482,16.870398058073036,35.180069922484066,9.154835932205513
,29.0,0.5463407317793099,16.709659899980565,35.330876550171475,9.310608325095457
,30.0,0.5048557413716708,16.55244682174952,35.47834369372642,9.462948435988453
,31.0,0.463797127687144,16.398719746747602,35.62250874323448,9.611894498243439
,32.0,0.4231662760302015,16.24843959834249,35.76340908878119,9.757484745219351
,33.0,0.3829645717058838,16.101567299901873,35.90108212045212,9.899757410275125
,34.0,0.34319340001877663,15.95806377479345,36.03556522833283,10.03875072676969
,35.0,0.3038541462735793,15.817889946384899,36.166895802508876,10.17450292806199
,36.0,0.264948195775105,15.681006738043902,36.295111233065796,10.30705224751095
,37.0,0.226476933828053,15.54737507313814,36.42024891008918,10.43643691847552
,38.0,0.1884417457371228,15.41695587503531,36.54234622366455,10.56269517431462
,39.0,0.15084401680701376,15.2897100671031,36.66144056387748,10.68586524838719
,40.0,0.11368513234253896,15.165598572709191,36.77756932081355,10.80598537405218
,41.0,0.07696647764839781,15.044582315221268,36.89076988455827,10.9230937846685
,42.0,0.040689438029289704,14.92662221800702,37.00107964519722,11.0372287135951
,43.0,0.004855398789914034,14.81167920443413,37.10853599281597,11.14842839419092
,44.0,-0.030534254764916113,14.699714197870291,37.21317631750005,11.25673105981488
,45.0,-0.06547813733050134,14.59068812168318,37.31503800933504,11.36217494382593
,46.0,-0.09997486360202856,14.48456189924049,37.41415845840649,11.464798279583
,47.0,-0.13402304827491207,14.38129645390991,37.51057505479993,11.56463930044501
,48.0,-0.16762130604433878,14.28085270905911,37.60432518860097,11.66173623977093
,49.0,-0.2007682516056093,14.183191588055799,37.69544624989512,11.75612733091966
,50.0,-0.2334624996540242,14.088274014267661,37.78397562876796,11.84785080725015
,51.0,-0.26570266488477046,13.996060911062361,37.86995071530504,11.93694490212134
,52.0,-0.2974873619931486,13.906513201807611,37.95340889959193,12.02344784889216
,53.0,-0.328815205674573,13.81959180987107,38.03438757171417,12.10739788092155
,54.0,-0.35968481062400315,13.735257658620439,38.11292412175732,12.18883323156844
,55.0,-0.3900947915370807,13.65347167142342,38.18905593980694,12.26779213419176
,56.0,-0.42004376310876523,13.57419477164768,38.26282041594858,12.34431282215045
,57.0,-0.449530340034471,13.49738788266089,38.33425494026781,12.41843352880346
,58.0,-0.47855313700949864,13.42301192783078,38.40339690285018,12.4901924875097
,59.0,-0.507110768729035,13.351027830525,38.47028369378124,12.55962793162812
,60.0,-0.5352018498884945,13.281396514111252,38.53495270314657,12.62677809451766
,61.0,-0.5628249951829503,13.214078901957219,38.597441321031695,12.69168120953724
,62.0,-0.5899788193078166,13.149035917430579,38.6577869375222,12.75437551004581
,63.0,-0.6166619369582804,13.086228483899031,38.71602694270361,12.81489922940229
,64.0,-0.6428729628296423,13.02561752473026,38.77219872666152,12.87329060096563
,65.0,-0.6686105116170893,12.967163963291942,38.826339679481464,12.92958785809476
,66.0,-0.6938731980160355,12.910828722951768,38.87848719124901,12.98382923414862
,67.0,-0.718659636721668,12.85657272707744,38.9286786520497,13.03605296248613
,68.0,-0.7429684424292873,12.80435689903663,38.976951451969086,13.08629727646623
,69.0,-0.766798229834194,12.75414216219701,39.02334298109275,13.13460040944787
,70.0,-0.7901476136316887,12.7058894399263,39.06789062950624,13.18100059478997
,71.0,-0.8130152085168447,12.65955965559215,39.11063178729511,13.22553606585148
,72.0,-0.83539962918519,12.61511373256227,39.15160384454491,13.26824505599132
,73.0,-0.8572994903317976,12.57251259420434,39.1908441913412,13.30916579856843
,74.0,-0.8787134066519684,12.53171716388605,39.22839021776955,13.34833652694175
,75.0,-0.8996399928410028,12.49268836497508,39.2642793139155,13.38579547447021
,76.0,-0.9200778635943152,12.455387120839118,39.29854886986462,13.42158087451275
