X,Z
0,1000.0
1,1000.1811350145332
2,1000.3607766264888
3,1000.5374440869911
4,1000.7096818362784
5,1000.8760718039963
6,1001.0352453604265
7,1001.1858948089713
8,1001.326784315764
9,1001.4567601790186
10,1001.5747603485312
11,1001.6798231144644
12,1001.7710948940227
13,1001.8478370546992
14,1001.9094317232692
15,1001.955386540447
16,1001.9853383319532
17,1001.9990556774873
18,1001.996440369621
19,1001.9775277647906
20,1001.9424860382424
21,1001.8916143638928
22,1001.825340048507
23,1001.7442146573355
24,1001.6489091753341
25,1001.5402082543114
26,1001.4190036018138
27,1001.2862865722766
28,1001.1431400249958
29,1000.9907295168323
30,1000.8302939003411
31,1000.6631354002405
32,1000.4906092429137
33,1000.3141129149943
34,1000.1350751281175
35,999.9549445676547
36,999.7751785037594
37,999.5972313433499
38,999.4225432017835
39,999.2525285729325
40,999.0885651761633
41,998.9319830583174
42,998.7840540281763
43,998.6459815000178
44,998.5188908216783
45,998.4038201609833
46,998.301712022409
47,998.2134054633498
48,998.1396290763025
49,998.0809947995953
50,998.037992614918
51,998.0109861848292
52,998.0002094775662
53,998.0057644198884
54,998.0276196113163
55,998.0656101250348
56,998.1194384119464
57,998.188676314957
58,998.2727681906446
59,998.3710351251028
60,998.4826802200995
61,998.6067949148821
62,998.7423662981558
63,998.8882853541205
64,999.043356076145
65,999.2063053718658
66,999.3757936743774
67,999.5504261658994
68,999.7287645130265
69,999.9093390064972
70,1000.0906609935028
71,1000.2712354869735
72,1000.4495738341006
73,1000.6242063256226
74,1000.7936946281342
75,1000.956643923855
76,1001.1117146458795
77,1001.2576337018442
78,1001.393205085118
79,1001.5173197799005
80,1001.6289648748972
81,1001.7272318093554
82,1001.811323685043
83,1001.8805615880536
84,1001.9343898749652
85,1001.9723803886837
86,1001.9942355801116
87,1001.9997905224338
88,1001.9890138151708
89,1001.962007385082
90,1001.9190052004047
91,1001.8603709236975
92,1001.7865945366502
93,1001.698287977591
94,1001.5961798390167
95,1001.4811091783217
96,1001.3540184999822
97,1001.2159459718237
98,1001.0680169416826
99,1000.9114348238367
100,1000.7474714270675
101,1000.5774567982165
102,1000.4027686566501
103,1000.2248214962406
104,1000.0450554323453
105,999.8649248718825
106,999.6858870850057
107,999.5093907570863
108,999.3368645997595
109,999.1697060996589
110,999.0092704831677
111,998.8568599750042
112,998.7137134277234
113,998.5809963981862
114,998.4597917456886
115,998.3510908246659
116,998.2557853426645
117,998.174659951493
118,998.1083856361072
119,998.0575139617576
120,998.0224722352094
121,998.003559630379
122,998.0009443225127
123,998.0146616680468
124,998.044613459553
125,998.0905682767308
126,998.1521629453008
127,998.2289051059773
128,998.3201768855356
129,998.4252396514688
130,998.5432398209814
131,998.673215684236
132,998.8141051910287
133,998.9647546395735
134,999.1239281960037
135,999.2903181637216
136,999.4625559130089
137,999.6392233735112
138,999.8188649854669
139,1000.0
-1,1003.0787905224338
-1,1003.0787905224338
0,1003.0787905224338
1,1003.0787905224338
2,1003.0787905224338
3,1003.0787905224338
4,1003.0787905224338
5,1003.0787905224338
6,1003.0787905224338
7,1003.0787905224338
8,1003.0787905224338
9,1003.0787905224338
10,1003.0787905224338
11,1003.0787905224338
12,1003.0787905224338
13,1003.0787905224338
14,1003.0787905224338
15,1003.0787905224338
16,1003.0787905224338
17,1003.0787905224338
18,1003.0787905224338
19,1003.0787905224338
20,1003.0787905224338
21,1003.0787905224338
22,1003.0787905224338
23,1003.0787905224338
24,1003.0787905224338
25,1003.0787905224338
26,1003.0787905224338
27,1003.0787905224338
28,1003.0787905224338
29,1003.0787905224338
30,1003.0787905224338
31,1003.0787905224338
32,1003.0787905224338
33,1003.0787905224338
34,1003.0787905224338
35,1003.0787905224338
36,1003.0787905224338
37,1003.0787905224338
38,1003.0787905224338
39,1003.0787905224338
40,1003.0787905224338
41,1003.0787905224338
42,1003.0787905224338
43,1003.0787905224338
44,1003.0787905224338
45,1003.0787905224338
46,1003.0787905224338
47,1003.0787905224338
48,1003.0787905224338
49,1003.0787905224338
50,1003.0787905224338
51,1003.0787905224338
52,1003.0787905224338
53,1003.0787905224338
54,1003.0787905224338
55,1003.0787905224338
56,1003.0787905224338
57,1003.0787905224338
58,1003.0787905224338
59,1003.0787905224338
60,1003.0787905224338
61,1003.0787905224338
62,1003.0787905224338
63,1003.0787905224338
64,1003.0787905224338
65,1003.0787905224338
66,1003.0787905224338
67,1003.0787905224338
68,1003.0787905224338
69,1003.0787905224338
70,1003.0787905224338
71,1003.0787905224338
72,1003.0787905224338
73,1003.0787905224338
74,1003.0787905224338
75,1003.0787905224338
76,1003.0787905224338
77,1003.0787905224338
78,1003.0787905224338
79,1003.0787905224338
80,1003.0787905224338
81,1003.0787905224338
82,1003.0787905224338
83,1003.0787905224338
84,1003.0787905224338
85,1003.0787905224338
86,1003.0787905224338
87,1003.0787905224338
88,1003.0787905224338
89,1003.0787905224338
90,1003.0787905224338
91,1003.0787905224338
92,1003.0787905224338
93,1003.0787905224338
94,1003.0787905224338
95,1003.0787905224338
96,1003.0787905224338
97,1003.0787905224338
98,1003.0787905224338
99,1003.0787905224338
100,1003.0787905224338
101,1003.0787905224338
102,1003.0787905224338
103,1003.0787905224338
104,1003.0787905224338
105,1003.0787905224338
106,1003.0787905224338
107,1003.0787905224338
108,1003.0787905224338
109,1003.0787905224338
110,1003.0787905224338
111,1003.0787905224338
112,1003.0787905224338
113,1003.0787905224338
114,1003.0787905224338
115,1003.0787905224338
116,1003.0787905224338
117,1003.0787905224338
118,1003.0787905224338
119,1003.0787905224338
120,1003.0787905224338
121,1003.0787905224338
122,1003.0787905224338
123,1003.0787905224338
124,1003.0787905224338
125,1003.0787905224338
126,1003.0787905224338
127,1003.0787905224338
128,1003.0787905224338
129,1003.0787905224338
130,1003.0787905224338
131,1003.0787905224338
132,1003.0787905224338
133,1003.0787905224338
134,1003.0787905224338
135,1003.0787905224338
136,1003.0787905224338
137,1003.0787905224338
137,1003.0787905224338
138,1003.0787905224338
0,1003.0787905224338
1,1003.0787905224338
1,1003.0787905224338
1,1003.0787905224338
2,1003.0787905224338
3,1003.0787905224338
4,1003.0787905224338
5,1003.0787905224338
6,1003.0787905224338
7,1003.0787905224338
8,1003.0787905224338
9,1003.0787905224338
10,1003.0787905224338
11,1003.0787905224338
12,1003.0787905224338
13,1003.0787905224338
14,1003.0787905224338
15,1003.0787905224338
16,1003.0787905224338
17,1003.0787905224338
18,1003.0787905224338
19,1003.0787905224338
20,1003.0787905224338
21,1003.0787905224338
22,1003.0787905224338
23,1003.0787905224338
24,1003.0787905224338
25,1003.0787905224338
26,1003.0787905224338
27,1003.0787905224338
28,1003.0787905224338
29,1003.0787905224338
30,1003.0787905224338
31,1003.0787905224338
32,1003.0787905224338
33,1003.0787905224338
34,1003.0787905224338
35,1003.0787905224338
36,1003.0787905224338
37,1003.0787905224338
38,1003.0787905224338
39,1003.0787905224338
40,1003.0787905224338
41,1003.0787905224338
