,station,thZ_d,thal_lat,Z_beto,W_L_beto,W_R_beto,Z_vfe,W_L_vfe,W_R_vfe
22,22.0,0.1376278760136529,-0.2190029595068455,-0.05846280841899443,1.700227497837606,-1.262221578823915,-0.5645383857034858,2.8505610709323244,-1.8003636392736204
23,23.0,0.15944784015300684,-0.370011733900157,-0.0376251445154594,1.9686947142333195,-1.2286712464330056,-0.5365744342276457,2.9916653378097893,-1.7288528761134039
24,24.0,0.18151349804020356,-0.5540989687492575,-0.016541786863854213,2.291169352573938,-1.1829714150754234,-0.5083647890039629,3.163895709432214,-1.6387513309842414
25,25.0,0.20356552795590233,-0.7420966559211437,0.00452794281613933,2.615417072127402,-1.1312237602851147,-0.48016877175177797,3.3401448252992134,-1.5559116214332462
26,26.0,0.22534460818042135,-0.904836787282813,0.02532472280483944,2.8892035321616505,-1.0795299575960247,-0.4522457041908865,3.4933053249104034,-1.50618636500753
27,27.0,0.2465914169941925,-1.0131513547012625,0.04558923138290538,3.060294391944626,-1.0339916825421007,-0.4248549080407429,3.5962698477653987,-1.5154281792542037
28,28.0,0.2648514551142398,-1.05658374614993,0.06286696926724744,3.111247388546058,-0.9980798962461981,-0.40045088258420947,3.648754305410681,-1.6036711989442758
29,29.0,0.2726815140084682,-1.0902731629521,0.0697147279257706,3.14616344838115,-0.9656171224769499,-0.38647683635349495,3.733761202954561,-1.751904925344404
30,30.0,0.27179706686433747,-1.1197737722150842,0.06784798054593466,3.1764188655201053,-0.9368713210899369,-0.38121729616113953,3.8499452480720384,-1.9335188356461304
31,31.0,0.2648172080084805,-1.144217783236883,0.0598858214542588,3.2014252659783997,-0.912989699504634,-0.38205316768062403,3.9861587329263637,-2.12286458727161
32,32.0,0.2543610317666207,-1.1627374053154984,0.048447344976693785,3.2205942757715156,-0.8951194651405188,-0.3863653565859977,4.13125394968079,-2.2942938376429938
33,33.0,0.24304763246550465,-1.1744648477489317,0.03615164543987248,3.2333375209149278,-0.8844078254170642,-0.3915347685507413,4.274083190498568,-2.422158244182433
34,34.0,0.23349588886424044,-1.178530588258898,0.02561760160290305,3.2390665937944227,-0.882005417276627,-0.3949425248154057,4.40349851267225,-2.480813063644753
35,35.0,0.2223529256493748,-1.1316683097503213,0.013492338152332195,3.2368121242805663,-0.9734755047799237,-0.3999415006938989,4.504764995374404,-2.542713965594672
36,36.0,0.20618059508547049,-1.0119472450841205,-0.003662292647391041,3.2277675500037972,-1.203873059835556,-0.4099698439213171,4.574592193428746,-2.675376776762606
37,37.0,0.18725808566705382,-0.848800635229299,-0.023567102301512932,3.2145556960161454,-1.5169544255575471,-0.4227483660033613,4.61876845027324,-2.849282944244755
38,38.0,0.16786458588796904,-0.6716617211548599,-0.043942902316302934,3.199799387369641,-1.8564759450599213,-0.43599787844595994,4.643082109345853,-3.0349139151373157
39,39.0,0.15027928424251513,-0.509963743829806,-0.06251050419746207,3.1861214491163152,-2.166193961456703,-0.4474391927549277,4.653321514084547,-3.202751136536489
40,40.0,0.13678136922521844,-0.3931399442231407,-0.07699071945046398,3.176144706308199,-2.3898648178619175,-0.4547931204357383,4.655275007927292,-3.3232760555384724
41,41.0,0.12964880992092276,-0.3506361265552619,-0.08510557899046489,3.1725565878370507,-2.4712843347265268,-0.4557816924036615,4.654731015655774,-3.3668671656996843
42,42.0,0.1295419508960549,-0.406712609506019,-0.08619473825115165,3.209832765449747,-2.396407546437709,-0.4497445640921569,4.65627836499516,-3.2627439193253513
43,43.0,0.1338897725595416,-0.5386712247201965,-0.08282921682337019,3.2956479166583175,-2.2183054672179243,-0.4392527550921841,4.659919571884991,-3.0177221440612483
44,44.0,0.1399556546224403,-0.7071340596487924,-0.0777456349961767,3.4010876767863194,-1.9868195574887344,-0.42704288569291293,4.664568059853942,-2.7049190518703163
45,45.0,0.14500297679569485,-0.872723201742805,-0.07368061305862739,3.4972376811573103,-1.7517912776717,-0.41585157618305857,4.669137252430686,-2.397451854715494
46,46.0,0.1462951187905901,-0.9960607384532324,-0.07337077129943737,3.5551835650948473,-1.5630620881883828,-0.4084154468517909,4.6725405731438965,-2.168437764559724
47,47.0,0.14093849492371646,-1.0372358938083717,-0.07970969540212991,3.5453450753982896,-1.4708732877815462,-0.4076280833821784,4.672656972954209,-2.092725082198059
48,48.0,0.11123241951941054,-0.9160563994628996,-0.11039807104214105,3.381175412723704,-1.5490626137979044,-0.43119017145011185,4.562575522444644,-2.395808312371721
49,49.0,0.05370217676113498,-0.6332920424469537,-0.16891061403612184,3.055613760707553,-1.7890296758136455,-0.4825764268719013,4.305570997078748,-3.104894273246442
50,50.0,-0.021435573825897336,-0.2428007989092015,-0.24503066485885938,2.623552992178052,-2.137951394359649,-0.5515701901224475,3.9503821647424933,-4.087819931211601
51,51.0,-0.10396417271613245,0.2015593550016884,-0.3285415639847997,2.139885979963414,-2.543004689966791,-0.6279548016761964,3.5457477933218513,-5.212422252656577
52,52.0,-0.18366696038447117,0.6459304431370481,-0.40922665188895735,1.6595055968918533,-2.951366483165949,-0.7015136020081627,3.1404066507027952,-6.346538203970751
53,53.0,-0.2503272773055869,1.0364544893482104,-0.4768692690457783,1.2373047157915815,-3.3102136944880023,-0.7620299315927923,2.7830975047712947,-7.358004751543504
54,54.0,-0.2937284639540394,1.319273517486506,-0.521252755929936,0.9281762094908146,-3.5667232444638266,-0.7992871309048724,2.522559123413323,-8.11465886176421
55,55.0,-0.30424145228857924,1.4434441319495417,-0.5327480445001811,0.7839970873751791,-3.6708853512742623,-0.8036561319029261,2.403972507742714,-8.491348010978326
56,56.0,-0.3002269707083087,1.4977787015699522,-0.5297158631556158,0.7123735240394979,-3.7079309271794023,-0.7934976629861694,2.3079265240116573,-8.698882295454307
57,57.0,-0.2943607684376275,1.5455460578203852,-0.5248319611206398,0.6483281183459657,-3.739420233986736,-0.7814874733791157,2.1635143851757213,-8.886068042520481
58,58.0,-0.2862508636826533,1.5856612548752946,-0.5177043566014845,0.5936461066055605,-3.7649686163561498,-0.7672335812876554,1.9814184363269556,-9.046821261320742
59,59.0,-0.2755052746507545,1.6170393469091342,-0.5079410678052909,0.5501127251292603,-3.784191418947529,-0.7503440049193841,1.7723210225574137,-9.175057960998986
60,60.0,-0.26173201954861725,1.638595388096358,-0.4951501129387452,0.5195132102280449,-3.796703986420761,-0.7304267624806471,1.546904488959149,-9.26469415069911
61,61.0,-0.24453911658247307,1.6492444326114195,-0.47893951020841996,0.5036327982128923,-3.8021216634357313,-0.7070898721781305,1.3158511806242132,-9.30964583956501
62,62.0,-0.22353458395900816,1.6479015346287735,-0.4589172778206603,0.5042567253947798,-3.800059794652327,-0.6799413522181794,1.0898434426446595,-9.303829036740575
